	
Java Bug System 	
Displaying 91 issues at 2018-01-22 16:18.	
Summary	Scope
JEP 102: Process API Updates	SE
JEP 110: HTTP/2 Client (Incubator)	JDK
JEP 143: Improve Contended Locking	Implementation
JEP 158: Unified JVM Logging	Implementation
JEP 165: Compiler Control	JDK
JEP 193: Variable Handles	SE
JEP 197: Segmented Code Cache	Implementation
JEP 199: Smart Java Compilation, Phase Two	JDK
JEP 200: The Modular JDK	SE
JEP 201: Modular Source Code	Implementation
JEP 211: Elide Deprecation Warnings on Import Statements	SE
JEP 212: Resolve Lint and Doclint Warnings	JDK
JEP 213: Milling Project Coin	SE
JEP 214: Remove GC Combinations Deprecated in JDK 8	JDK
JEP 215: Tiered Attribution for javac	JDK
JEP 216: Process Import Statements Correctly	Implementation
JEP 217: Annotations Pipeline 2.0	Implementation
JEP 219: Datagram Transport Layer Security (DTLS)	SE
JEP 220: Modular Run-Time Images	SE
JEP 221: New Doclet API	JDK
JEP 222: jshell: The Java Shell (Read-Eval-Print Loop)	JDK
JEP 223: New Version-String Scheme	SE
JEP 224: HTML5 Javadoc	JDK
JEP 225: Javadoc Search	JDK
JEP 226: UTF-8 Property Resource Bundles	SE
JEP 227: Unicode 7.0	SE
JEP 228: Add More Diagnostic Commands	Implementation
JEP 229: Create PKCS12 Keystores by Default	SE
JEP 231: Remove Launch-Time JRE Version Selection	JDK
JEP 232: Improve Secure Application Performance	Implementation
JEP 233: Generate Run-Time Compiler Tests Automatically	Implementation
JEP 235: Test Class-File Attributes Generated by javac	Implementation
JEP 236: Parser API for Nashorn	JDK
JEP 237: Linux/AArch64 Port	Implementation
JEP 238: Multi-Release JAR Files	SE
JEP 240: Remove the JVM TI hprof Agent	JDK
JEP 241: Remove the jhat Tool	JDK
JEP 243: Java-Level JVM Compiler Interface	JDK
JEP 244: TLS Application-Layer Protocol Negotiation Extension	SE
JEP 245: Validate JVM Command-Line Flag Arguments	JDK
JEP 246: Leverage CPU Instructions for GHASH and RSA	JDK
JEP 247: Compile for Older Platform Versions	JDK
JEP 248: Make G1 the Default Garbage Collector	JDK
JEP 249: OCSP Stapling for TLS	SE
JEP 250: Store Interned Strings in CDS Archives	JDK
JEP 251: Multi-Resolution Images	SE
JEP 252: Use CLDR Locale Data by Default	SE
JEP 253: Prepare JavaFX UI Controls & CSS APIs for Modularization	JDK
JEP 254: Compact Strings	Implementation
JEP 255: Merge Selected Xerces 2.11.0 Updates into JAXP	JDK
JEP 256: BeanInfo Annotations	JDK
JEP 257: Update JavaFX/Media to Newer Version of GStreamer	Implementation
JEP 258: HarfBuzz Font-Layout Engine	Implementation
JEP 259: Stack-Walking API	SE
JEP 260: Encapsulate Most Internal APIs	JDK
JEP 261: Module System	SE
JEP 262: TIFF Image I/O	SE
JEP 263: HiDPI Graphics on Windows and Linux	JDK
JEP 264: Platform Logging API and Service	SE
JEP 265: Marlin Graphics Renderer	JDK
JEP 266: More Concurrency Updates	SE
JEP 267: Unicode 8.0	SE
JEP 268: XML Catalogs	SE
JEP 269: Convenience Factory Methods for Collections	SE
JEP 270: Reserved Stack Areas for Critical Sections	JDK
JEP 271: Unified GC Logging	JDK
JEP 272: Platform-Specific Desktop Features	SE
JEP 273: DRBG-Based SecureRandom Implementations	SE
JEP 274: Enhanced Method Handles	SE
JEP 275: Modular Java Application Packaging	JDK
JEP 276: Dynamic Linking of Language-Defined Object Models	JDK
JEP 277: Enhanced Deprecation	SE
JEP 278: Additional Tests for Humongous Objects in G1	Implementation
JEP 279: Improve Test-Failure Troubleshooting	Implementation
JEP 280: Indify String Concatenation	SE
JEP 281: HotSpot C++ Unit-Test Framework	Implementation
JEP 282: jlink: The Java Linker	JDK
JEP 283: Enable GTK 3 on Linux	JDK
JEP 284: New HotSpot Build System	Implementation
JEP 285: Spin-Wait Hints	SE
JEP 287: SHA-3 Hash Algorithms	Implementation
JEP 288: Disable SHA-1 Certificates	JDK
JEP 289: Deprecate the Applet API	SE
JEP 290: Filter Incoming Serialization Data	SE
JEP 291: Deprecate the Concurrent Mark Sweep (CMS) Garbage Collector	JDK
JEP 292: Implement Selected ECMAScript 6 Features in Nashorn	JDK
JEP 294: Linux/s390x Port	Implementation
JEP 295: Ahead-of-Time Compilation	Implementation
JEP 297: Unified arm32/arm64 Port	Implementation
JEP 298: Remove Demos and Samples	JDK
JEP 299: Reorganize Documentation	JDK
Generated at Mon Jan 22 15:18:13 UTC 2018 by Volker Simonis using JIRA 6.4.5#64020-sha1:78acd6c502bd8e526a3f0032b770e55d6f3a3b0f.	
